"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
68,"Optic Nerve",255,53,58,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0018348","Optic Nerve","","","","","","","","",""
69,"Postabdomen",255,255,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002244","Postabdomen","","","","","","","","",""
70,"Postabdominal Process",251,180,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0008828","Postabdominal Process","","","","","","","","",""
71,"Anus",251,180,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_2000240","Anus","","","","","","","","",""
72,"Postabdominal Claw",251,180,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_3000619","Postabdominal Claw","","","","","","","","",""
73,"Reproductive",255,255,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006721","Reproductive","","","","","","","","",""
74,"Embryo",255,204,102,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001692","Embryo","","","","","","","","",""
75,"Fat Cell",255,92,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006428","Fat Cell","","","","","","","","",""
76,"Ovary",255,226,31,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0004742","Ovary","","","","","","","","",""
77,"Oviduct",255,165,31,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0001693","Oviduct","","","","","","","","",""
78,"Testis",255,226,31,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0010750","Testis","","","","","","","","",""
79,"Testis Duct",255,165,31,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002229","Testis Duct","","","","","","","","",""
80,"Gonopore",255,165,31,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001683","Gonopore","","","","","","","","",""
